nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Elodie,France,0,2020-03-14 00:00:00,Bon hôtel,"L’arrivée tardive est bien aménagée, l’hôtel est calme. Le personnel est très sympathique et avenant.
Il y a un bon rapport qualité prix notamment lorsqu’on veut être près de la gare","En revanche un peu déçue sur la chambre qui est à peine éclairée (ce qui n’est vraiment pas pratique dès qu’il fait nuit). Les toilettes sont fixées bien trop haut, le lavabo était bouché et la douche fuit. Quelques petits défauts du genre qui font que les équipements de la chambre ne sont pas très soignés.","8,3",Hôtel,Nantes," 8,0 "
Benedicte,France,0,2020-03-13 00:00:00,Très bien,None,"Manque une savonnette pour le lavabo
Merci","8,0",Hôtel,Nantes," 8,0 "
Samia,France,0,2020-03-07 00:00:00,Un bon séjour,"L'emplacement de l'hôtel est pratique. Il est juste à côté de la gare, tram et château des ducs de Bretagne. 
Le personnel est souriant et accueillant.",Le petit déjeuner est délicieux mais il n'est pas varié.,"7,0",Hôtel,Nantes," 8,0 "
Gilbert,France,0,2020-03-05 00:00:00,Bien ,None,"C'est certes temporaire, mais l'étage était en travaux et des odeurs de produits m'ont incommodé.","7,0",Hôtel,Nantes," 8,0 "
Nathalie,France,0,2020-03-05 00:00:00,Très bien,"L'accueil
L'emplacement
Le petit dèj",Rien,"8,0",Hôtel,Nantes," 8,0 "
Marion,France,0,2020-03-04 00:00:00,Bien ,Très proche de la gare et accueil agréable.,La porte de la salle de bain qui ne se fermait pas.,"7,5",Hôtel,Nantes," 8,0 "
Florence,France,0,2020-03-02 00:00:00,Fabuleux ,l'accueil!!,None,"9,0",Hôtel,Nantes," 8,0 "
Anne,France,0,2020-02-29 00:00:00,Fabuleux ,tout le reste,petit problème avec la fermeture de la porte,"9,0",Hôtel,Nantes," 8,0 "
Catherine,France,0,2020-02-26 00:00:00,Fabuleux ,La chambre au 3 eme étage était spacieuse et la douche de bonne dimensions,None,"9,0",Hôtel,Nantes," 8,0 "
Catherine,France,0,2020-02-21 00:00:00,bon rapport qualité prix,"L accueil était attentionné
Le petit déjeuner excellent",La douche un peu petite,"8,0",Hôtel,Nantes," 8,0 "
Wersand,France,0,2020-02-21 00:00:00,"Séjour agréable,","Nous avons beaucoup aimé le design, décoration de la chambre qui nous faisait sentir à l'aise.
Également la réceptionniste présente le vendredi soir était sympathique et joviale.
Au niveau de la literie, celle-ci était confortable.","Nous n'avons pas apprécié le fait de ne pas pouvoir éteindre les lumières en gardant les petites lumières pour la lecture, soit c'était trop lumineux soit nous étions dans le noir. Il aurait été plus pratique, selon nous, de pouvoir éteindre les lampes de chevet sans éteindre les petites lumières, mais nous avons trouvé une solution à ce problème.
De plus il se trouve que la veilleuse de la télévision est très lumineuse, celle-ci nous a beaucoup dérangé pendant la nuit.","8,0",Hôtel,Nantes," 8,0 "
Marie,France,0,2020-02-19 00:00:00,Petit hôtel sympathique et bien situe juste un bloc pas de chauffage ds la sdb,La gentillesse du personnel,J ai retrouve 2fois chambre mal fermee,"8,0",Hôtel,Nantes," 8,0 "
