nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Pierre,France,0,2020-02-04 00:00:00,Très bien,"Personnel parfait
Festival de saveurs au restaurant. Tres bon",Mauvaise insonorisation de la chambre malgre un 4e etage,"8,0",Hôtel,Nice," 8,0 "
Dalila,France,0,2020-02-02 00:00:00,Fabuleux ,Gentillesse du personnel et un accueil très professionnel,Réveillée malheureusement par des déplacements de meubles et personnes parlant fort dans le couloir,"9,0",Hôtel,Nice," 8,0 "
Jean,France,0,2020-01-31 00:00:00,Très bon séjour,Tout,None,"8,0",Hôtel,Nice," 8,0 "
Melvin,États-Unis,0,2020-01-27 00:00:00,Fabuleux ,"Le personnel très sympathique, la belle vue, l'accueil au top. Et surtout leur participation à l'écologie ! Très bon point !",2 lits collé en 1 pour faire un lit King Size c'est malheureux.. à revoir.,"9,0",Hôtel,Nice," 8,0 "
Bougmohammed,Algérie,0,2020-01-25 00:00:00,Excellent,Tous,Rien du tous,"9,0",Hôtel,Nice," 8,0 "
Philippe,France,0,2020-01-25 00:00:00,Vacances du jour de l an,Le confort et l’accueil,"Le restaurant panoramique, décevant coté service, une commande de vin jamais arrivée tout au long du repas, une note gonflée par deux desserts alors qu’ils étaient dans le menu, dommage car le service n’est pas à la hauteur de l’enseigne","8,8",Hôtel,Nice," 8,0 "
Melissa,France,0,2020-01-22 00:00:00,Très bon week-end,Pratiquement tout,None,"9,2",Hôtel,Nice," 8,0 "
Francois,France,0,2020-01-19 00:00:00,"Superbe vue, chambre et hôtel rénové avec grand goût.",Rénové il y a deux ans. Excellent 4 étoiles!! Mériterait un jour un 5. Literie au top!,Boissons du bar chères..,"9,0",Hôtel,Nice," 8,0 "
Luc,France,0,2020-01-19 00:00:00,Fabuleux ,"la vue de la terrasse, la nuit.
l'atmosphère de la cafeteria le soir, très sympathique.",None,"9,0",Hôtel,Nice," 8,0 "
Societe,France,0,2020-01-18 00:00:00,Digne d’un Radisson,"La vue du roof top 
La piscine 
Et le spa",Rien,"7,1",Hôtel,Nice," 8,0 "
Marie-,France,0,2020-01-16 00:00:00,Bien ,Tout était bien dans l ensemble avec un bon petit-déjeuner,Le bruit du chauffage clim et l éloignement avec le centre-,"7,0",Hôtel,Nice," 8,0 "
Majda,France,0,2020-01-14 00:00:00,Excellent,Agréablement surprise,None,"9,0",Hôtel,Nice," 8,0 "
Marc,France,0,2020-01-13 00:00:00,Comblé au-delà de mes attentes,"La réactivité du personnel, la qualité de reception, et l'écoute toujours présente.
L'hôtel est d'une grande qualité, et je reviendrai volontier à mon prochain séjour à Nice.","Seul bémol, je préfère la douche à la baignoire. (problème personnel avec une jambe)
Sinon tout est parfait","8,0",Hôtel,Nice," 8,0 "
Jacqueline,Belgique,0,2020-01-12 00:00:00,Agréable séjour dans hôtel confortable,"Beau buffet petit déjeuner et belle piscine sur le toit.
Personnel très serviable",None,"8,0",Hôtel,Nice," 8,0 "
Ben3421,France,0,2020-01-12 00:00:00,Fabuleux ,Tout le reste etait au top c est propre c est beau et la terrasse avec vie sur mer splendide,On ne peut pas dire qu on a pas apprécié mais le petit dejeuner etait tres classique pas énormément de choix,"9,0",Hôtel,Nice," 8,0 "
Eric,France,0,2020-01-10 00:00:00,Sympa mais accueil trop froid,"Logement 
Situation géographique",Personnel à l’accueil...le sourire ce n’est pas payant c’est gratuit!!!!,"7,0",Hôtel,Nice," 8,0 "
Olias,Belgique,0,2020-01-06 00:00:00,Superbe,La vue impressionnante du dernier étage,Le lit beaucoup trop dure a mon goût,"8,8",Hôtel,Nice," 8,0 "
Patrick,France,0,2020-01-06 00:00:00,Fabuleux ,Tres bien,Parking de l'hotel = beaucoup trop cher….,"9,0",Hôtel,Nice," 8,0 "
Romain,France,0,2020-01-05 00:00:00,Fabuleux ,La vue,Le bruit,"9,2",Hôtel,Nice," 8,0 "
Jean-luc,France,0,2020-01-01 00:00:00,Un excellent week-end,"Le petit déjeuner est exceptionnel, le personnel est parfait, la chambre vue mer est spacieuse et confortable, le restaurant sur le toit est succulent.",None,"9,2",Hôtel,Nice," 8,0 "
Thierry,Côte-d'Ivoire,0,2019-12-29 00:00:00,Bien ,La convivialité du personnel,None,"7,5",Hôtel,Nice," 8,0 "
Marc,France,0,2019-12-26 00:00:00,Très bien,None,Hôtel trop chaud et très bruyant la nuit fenêtres ouvertes,"8,0",Hôtel,Nice," 8,0 "
Xavier,France,0,2019-12-17 00:00:00,bien,"La vue face à la mer, l'espace de la chambre","le chauffage qui ne se règle pas, l'inconstance de la température de l'eau de la douche .","8,0",Hôtel,Nice," 8,0 "
Ahamadou,France,0,2019-12-16 00:00:00,Bien dans l'ensemble .,"Deux nuits , avec un personnel chaleureux , sympa , et vraiment a l’écoute du client.",Pre venir le client d'une éventuel Cautions,"9,0",Hôtel,Nice," 8,0 "
Richard,France,0,2019-12-09 00:00:00,"Séjour satisfaisant, restaurant en terrasse qui vaut la visite","Petit déjeuner très bien, emplacement bien","Un peu cher, pas d'eau à disposition gratuite à l'arrivée, impression un peu pingre...","7,0",Hôtel,Nice," 8,0 "
Marc-christian,Suisse,0,2019-12-03 00:00:00,Fabuleux ,Personnel sympathique,Petit déjeuner non inclus,"9,2",Hôtel,Nice," 8,0 "
Celine,France,0,2019-11-25 00:00:00,"Hôtel confortable, très bien situé, avec un personnel très serviable et accueillant.","J'ai particulièrement apprécié l'accueil, la gentillesse et la disponibilité du personnel que ce soit à la réception (réceptionniste, concierge) ou à l'accueil du petit déjeuner. Hammam et sauna très agréables.","J'ai regretté l'absence de chaussons pour aller de la chambre au spa. Ménage effectué tardivement le 2eme jour, n'était pas réalisé lorsque nous sommes rentrées vers 14h00 à cause des intempéries. Air et eau passant par la fenêtre (alerte rouge météo donc hors norme)","8,0",Hôtel,Nice," 8,0 "
Fabrice,Suisse,0,2019-11-24 00:00:00,Vue sur mer,"PDJ buffet parfait, simple mais rien ne manque, personnel attentif et souriant, situation idéale, proche de l'Aéroport, proche de la ville, proche de tout :-)","Le prix du parking/garage est un peu élevé, pratique mais un peu cher.","8,0",Hôtel,Nice," 8,0 "
Philippe,France,0,2019-11-10 00:00:00,Très bien,Emplacement / literie /petit déjeuner,Chambre plus petite que d’habitude et pour un hôtel de cette qualité on apprécierait des toilettes séparées,"8,3",Hôtel,Nice," 8,0 "
Patrice,France,0,2019-11-08 00:00:00,Fabuleux ,Le personnel,"Un peu loin du centre 
27 euros pour un petit déjeuner moyen","9,2",Hôtel,Nice," 8,0 "
Fabrice,France,0,2019-11-03 00:00:00,Un hôtel digne de ses 4 étoiles,Un hôtel digne de ses 4 étoiles offrant de belles prestations et disposant d'un personnel attentionné.,None,"9,2",Hôtel,Nice," 8,0 "
Alain,France,0,2019-11-03 00:00:00,Superbe,La grande chambre avec vue sur mer.,Bon rapport qualité prix. Un petit sentiment de tourisme de masse.,"8,8",Hôtel,Nice," 8,0 "
Melanie,France,0,2019-10-29 00:00:00,Séjour,"Le reste top ! Service, amabilité !",Chambre familial avec de la pub mensongère je m’attendait pour mes enfants à un petit cadeau comme sur la photo mais à part le prix rien du tout... Sdb abîmée c’est dommage.... !,"7,1",Hôtel,Nice," 8,0 "
Louise,France,0,2019-10-27 00:00:00,Bien ,Superbe vue de la chambre.,Les petits déjeuners bas de gamme et donc trop chers. La salle de bain rénovée seulement à moitié et inconfortable.,"7,5",Hôtel,Nice," 8,0 "
Gregory,France,0,2019-10-17 00:00:00,Hôtel bien calme grand.,None,Il est dommage que la piscine ne soit pas chauffée. Et fort dommage que les bouteilles d'eau soit dans le mini bar donc payante et non offerte pour un 4 étoiles. Il manque un spa et des massages pour être au top.,"8,0",Hôtel,Nice," 8,0 "
