nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Patricia,France,0,2020-03-04 00:00:00,Très bien,"Hôtel très calme. Situé a deux pas de la gare de Perrache et du centre ville. Mes petits enfants et moi avons pu faire la plupart de nos visites à pied (place Bellecour, la basilique de Fourvière et musée des confluences) . métro, bus et tram à côté. Le personnel de l'hôtel est très serviable .hôtel très agréable, nous avons été très contents de notre séjour.",Déco un peu vieillot mais très propre.,"8,0",Hôtel,Lyon," 7,4 "
Titi,Suisse,0,2020-03-02 00:00:00,Très bien,Accueil très sympatique. Chambre propre et confortable. Proche du centre et à 5min de la gare Par Dieu.,Peu lumineux,"8,0",Hôtel,Lyon," 7,4 "
Eliane,France,0,2020-03-01 00:00:00,"Hôtel sympathique, à valoriser","L'emplacement et l'entrée de l'hôtel.
Le petit-déjeuner.","Chambre pas mise en valeur. 
Manque de soin à l'ensemble.","6,0",Hôtel,Lyon," 7,4 "
Carole,France,0,2020-02-28 00:00:00,Très bien,"Accueil chaleureux, personnel disponible, logement calme. Très bon rapport qualité prix",None,"8,0",Hôtel,Lyon," 7,4 "
Cécile,France,0,2020-02-28 00:00:00,"Bon séjour mais la chambre était petite et étriquée, sans équipement. Localisation idéale.",Emplacement idéal à coté de la gare Perrache pour un week-end ça nous convenait très bien.,"Aucun équipement en chambre, même une bouilloire aurait été sympa (excepté sèche cheveux)
Les lits étaient corrects mais pas très grands, les coussins et matelas n'étaient pas confortables (mal de dos et nuques au réveil).","7,0",Hôtel,Lyon," 7,4 "
Tania,France,0,2020-02-27 00:00:00,Très bien,"Très bien situé, à quelques pas de la gare Perrache et à 10 minutes à pied du centre de Lyon. Personnel très gentil et serviable !",None,"8,0",Hôtel,Lyon," 7,4 "
Paul,France,0,2020-02-25 00:00:00,Un hôtel de famille dans un quartier attachant de Lyon,"La déco du hall avec les fauteuils Cube et la disponibilité de BD.
Sa localisation dans Lyon.",Un petit déjeuner à l'anglaise ?,"8,0",Hôtel,Lyon," 7,4 "
Lucy,France,0,2020-02-25 00:00:00,Séjour très agréable,Très bon petit déjeuner dans un espace calme,None,"8,0",Hôtel,Lyon," 7,4 "
Elodie,France,0,2020-02-24 00:00:00,Très bien,"Accueil très chaleureux
Rapports qualité prix au top",None,"8,0",Hôtel,Lyon," 7,4 "
Dziani,France,0,2020-02-24 00:00:00,Très bien pour un court séjour.,"Bonjour 
Le personnel, bien que jamais croisé les mêmes personnes, est très agréable.
La chambre : le lit est confortable. Les oreillés en nombre suffisent et très moux. Ce qui me va ! Le matelas est bon. Niveau sonore, C est pas top.. On entend très bien, trop bien même, les voisins.. Un coffre est à disposition ainsi que des cintres. 
La salle de bain : savons, serviettes, gel de bain, sèche cheveux... Tout bien. Seul bémol pour les peintures qui sont très défraîchies. Il en est de même pour les joins. Un coup de frais serait nécessaire.",None,"8,0",Hôtel,Lyon," 7,4 "
Serge,France,0,2020-02-23 00:00:00,Bien ,Proximité des centres d’intérêts,Absence de Canal+,"7,1",Hôtel,Lyon," 7,4 "
