nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Angelo,France,0,2018-08-09 00:00:00,Bon rapport qualité-prix,"La situation, pas loin du métro et des tramways. Appartement de bonne taille, pas trop petit",Une meilleure ventilation car appartement d'angle et très éclairé.. Positif...mais très chaud en cette saison,"7,5",Appart'hôtel,Marseille," 7,1 "
Edith,France,0,2018-08-08 00:00:00,Bien ,None,Absence de climatisation,"7,9",Appart'hôtel,Marseille," 7,1 "
Salima,France,0,2018-08-04 00:00:00,Une bonne expérience à renouveler,"Un bon rapport qualité /prix , un bon accueil et bien situé métro et bus en bas de la résidence",Pas de clim dans les chambres juste un ventilateur donc nuits très chaudes,"7,9",Appart'hôtel,Marseille," 7,1 "
Lahcen,France,0,2018-08-02 00:00:00,Trop chaud,C'était propre,Il fait trop chaud il y a un petit ventilateur mais pas puissant,"7,5",Appart'hôtel,Marseille," 7,1 "
Sam,France,0,2018-08-01 00:00:00,Séjour agréable,La propreté du studio. La présence d'un parking souterrain fermé et le rapport qualité prix.,Quartier un peu dégradé. Mal desservie par les transports en commun,"6,7",Appart'hôtel,Marseille," 7,1 "
Nadir,Algérie,0,2018-07-28 00:00:00,On a bien profité en famille de nos deux jours passés à Marseille,"La proximité de la ville et du port pour embarquer et en particulier, la disponibilité d'un parking pour la voiture",Il fait chaud à l'intérieur,"7,5",Appart'hôtel,Marseille," 7,1 "
Marina,France,0,2018-07-26 00:00:00,Bien mais trop chaud manque de climatisation,None,Certains... personnels hommes de la accueil peu aimable prétentieux...,"8,3",Appart'hôtel,Marseille," 7,1 "
Charles,France,0,2018-07-25 00:00:00,l'éternel plaisir de retrouver luminosité et air de cette ville; la plage à portée de métro-bus.Une,"calme,propreté au pied de la station de métro, des restaurants très proches; première nuit,chaude, deuxième nuit, fenêtres entr'ouvertes, toujours silence, et aération agréable.J'y retournerai cette année.","si c'est possible sans changer le prix: une légère ventilation dans la chambre; perso, travaillant en Asie du S.E. et préférant ne ^s mettre les clims en action, je n'en aurai pa besoin.","8,3",Appart'hôtel,Marseille," 7,1 "
Marie-laure,France,0,2018-07-20 00:00:00,Bien ,"L'emplacement est idéal pour effectuer des visites et l'hôtel est très bien situé face au métro M2 et à une station de bus .
Pharmacie et boulangerie à 2 minutes à pieds .","Le ménage est un peu sommaire ( salle de bain ,sous le lit des moutons ,pas de liquide vaisselle dans le distributeur prévu à cet effet ).","7,9",Appart'hôtel,Marseille," 7,1 "
Tayeb,France,0,2018-07-19 00:00:00,Agréable,None,Manque climatisation compte tenu du climat et emplacement ; bruyant quand fenêtres ouvertes,"6,2",Appart'hôtel,Marseille," 7,1 "
