nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Douib,France,0,2020-02-16,Séjour un week-end,"L’établissement est placé près du sortie de métro donc autant dire que pour découvrir Paris il est top !
Niveau rapport / qualité prix l’hôtel est très bien ( nous avons séjourné avec un enfant dans lit séparé et c’est amplement suffisant ).
Le personnel a été très aimable.
L’hôtel a été un peu bruyant durant notre séjour mais cela peu arriver dans tout établissement.
En bref, pour un court séjour l’hôtel est très bien.",None,"7,5",Hôtel,Paris," 8,0 "
Marianne,France,0,2020-02-16,Agréable,"Hôtel situé à 10 min à pied de la gare Montparnasse (2 stations de métro)
Chambre propre","Nous avons été réveillés par des bruits de rongeurs dans les parois
Pas de luminosité : pas de luminaire principal uniquement des lampes de chevet","6,7",Hôtel,Paris," 8,0 "
Claudine,France,0,2020-02-14,Très bien,"La localisation de l hôtel
Le rapport qualité prix pour une nuit",None,"8,0",Hôtel,Paris," 8,0 "
Nina,France,0,2020-02-13,Très bien,La chambre,Rien a dire,"8,0",Hôtel,Paris," 8,0 "
Catherine,France,0,2020-02-11,Séjour agréable dans quartier calme,"Hôtel situé très proche métro
Très bon accueil de l'hôtesse à notre arrivée.
Literie confortable",Petit déjeuner basic .,"7,0",Hôtel,Paris," 8,0 "
Pierre-philippe,La Réunion,0,2020-02-08,Court et agréable,L’accueil et confort de la chambre,Rien,"9,0",Hôtel,Paris," 8,0 "
Jackie,France,0,2020-02-06,Excellent séjour,"Personnel très accueillant 
Hôtel bien situé",None,"8,0",Hôtel,Paris," 8,0 "
Bernard,France,0,2020-02-06,Agréable,Hôtel bien placé et chambre agréable,Le bruit toute la nuit des équipements venant de l’ascenseur et de la salle de bains,"6,7",Hôtel,Paris," 8,0 "
Michel,France,0,2020-02-04,Envie d'y revenir et de donner cette adresse,chambre au calme,"Pourquoi allumer toutes les lumières en même temps, des économies d'énergie pourraient être envisagées de ce côté là.","9,0",Hôtel,Paris," 8,0 "
Mathilde,Espagne,0,2020-02-03,Bien ,"Emplacement idéal, proche du métro et de la gare Montparnasse. Équipements suffisants (télé, savons, kit de voyage).",None,"7,0",Hôtel,Paris," 8,0 "
Jean,France,0,2020-01-29,Fabuleux ,"Proximité de Montparnasse 
Quartier agréable
Chambre calme sur impasse
Espace petit déjeuner",Rien,"9,2",Hôtel,Paris," 8,0 "
Aurelie,France,0,2020-01-28,Très bien,Chambre donnant sur une petite ruelle calme. Parfait,None,"8,0",Hôtel,Paris," 8,0 "
Elodie,France,0,2020-01-26,Agréable,Chambre propre. Hotel facile d'accès à côté de la station Pernety. Salle de bain bien équipée. La wifi fonctionne bien.,Sol glissant dans la salle de bain,"8,0",Hôtel,Paris," 8,0 "
Perrine,France,0,2020-01-26,Bien ,Chambre et salle de bain confortables et bien équipées.,Chambre côté rue mal isolée et assez bruyante. On sent les vibrations du métro.,"7,0",Hôtel,Paris," 8,0 "
Sbo,France,1,2020-01-25,Accueil et emplacement top,"L emplacement, l accueil , la chambre avec sa terrasse.",Le pain du petit déjeuner n est pas bon et les confitures industrielles. Changement facile à faire!,"8,0",Hôtel,Paris," 8,0 "
Christelle,France,0,2020-01-24,Très bien,"L'emplacement, à proximité de Montparnasse.",None,"8,0",Hôtel,Paris," 8,0 "
Patricia,France,0,2020-01-22,Très bien,"Accueil, taille de la chambre, qualité de la literie","Petit déjeuner correct mais basique (marque de thé, qualité du pain)","8,0",Hôtel,Paris," 8,0 "
Cyrille,France,0,2020-01-16,Très bien,Calme emplacement,Petit déjeuner moyen,"8,3",Hôtel,Paris," 8,0 "
Brigitte,France,0,2020-01-16,Hotel agréable et pratique d'accès,l'accueil : le personnel était aimable et très présent,"nous avons eu un peu froid, même avec la couette
on entendait un enfant pleurer le soir et le matin","8,0",Hôtel,Paris," 8,0 "
Agnes,France,0,2020-01-16,Pour une nuit très agréable,Proximité de la gare,Petit déjeuner léger pour le prix de 11 euros,"8,0",Hôtel,Paris," 8,0 "
Valerie,France,0,2020-01-14,agréable et réposant mais près de grande avenue parisienne.,"l'accueil, la propreté de la chambre, les attentions : petit café disponible avec bouilloire dans la chambre, la baignoire, l'eau bien chaude, le calme, les matelas agréable, le petit déjeuner simple mais suffisant.",léger manque de nettoyage autour du robinet de la baignoire : trace de moisissure.,"7,0",Hôtel,Paris," 8,0 "
Bertrand,France,0,2020-01-11,J'y retournerai sii l'occasion se présente,Excellent,Je ne vois ce qui peut être amélioré,"9,0",Hôtel,Paris," 8,0 "
Bruno,France,0,2020-01-11,Superbe,"Pratique et bien placé, près du métro....quand il n’est pas en grève. Accueil sympathique",None,"8,8",Hôtel,Paris," 8,0 "
Daniel,France,0,2020-01-10,Séjour agreable,Accueil chaleureux. Un lit bon et grand. Parking clos.,None,"8,0",Hôtel,Paris," 8,0 "
Agnes,France,0,2020-01-08,Bien ,L'emplacement,Chambre petite,"7,0",Hôtel,Paris," 8,0 "
Aimee,France,0,2020-01-07,Bon rapport qualité prix,"Bon petit déjeuner 
Quartier calme
Bonne literie",Ras,"8,0",Hôtel,Paris," 8,0 "
René,France,0,2020-01-06,Très bien,Bon rapport qualité prix,None,"8,0",Hôtel,Paris," 8,0 "
Didier,France,0,2020-01-06,Très bien,None,merci à Rosy pour son accueil ainsi que ses collègues.,"8,0",Hôtel,Paris," 8,0 "
Catherine,France,0,2020-01-03,Très bien,Chambres spacieuses pour Paris. Grands lits confortables. Style cosy où on se sent bien. Personnel agréable. Adresse à recommander.,La salle du petit déjeuner est petite et se trouve vite encombrée aux heures de pointe.,"8,0",Hôtel,Paris," 8,0 "
Daniel,France,0,2020-01-02,Très satisfaits de notre découverte et nullement déçus Nous reviendrons...,"Le petit déjeuner était très correct dans un cadre soigné ,lumineux avec un personnel à l'écoute mais très discret .",None,"7,0",Hôtel,Paris," 8,0 "
Maxime,France,0,2020-01-01,Bien ,La chambre et la salle de bain sont très confortables.,"L'insonorisation à l'intérieur de l'hôtel pourrait être meilleure, mais rien de catastrophique.","7,0",Hôtel,Paris," 8,0 "
Enora,France,0,2019-12-20,Un bon hôtel pour passer une nuit avant de prendre son train.,"L'accueil, le rapport qualité prix, l'emplacement",Isolation un peu faible entre les chambres.,"8,0",Hôtel,Paris," 8,0 "
Aurélie,France,0,2019-12-15,Bien ,"Proximité avec la gare
Bon rapport qualité prix
Literie très confortable 
Personnel de chambre attentionné","Chambre trop chauffée même en éteignant le radiateur
Rideau de douche sale
Toilettes du rdc à rénover","7,0",Hôtel,Paris," 8,0 "
Damien,France,0,2019-12-13,Très bien,Toute l équipe est accueillante et vraiment soucieuse de la clientèle,Les chambres sont très petites,"8,3",Hôtel,Paris," 8,0 "
Michel,France,0,2019-12-11,Bien ,"Chambre petite mais bien équipée, correct pour le prix.
A 15 minutes à pied de la gare Montparnasse, quartier tranquille, pas mal de restaurants et cafés rue Raymond Losserand et rue de L'Ouest. Corr","Le terminal carte bleue était en panne, j'ai du ressortir pour retirer du liquide au distributeur dans la rue à côté pour régler la chambre à mon arrivée.
Les WC contre le mur en angle de la salle de bain, il faut s'asseoir de travers sur la lunette, pas confortable.","7,0",Hôtel,Paris," 8,0 "
Pierre,France,0,2019-12-05,Très bien,l ambiance sympathique,J aurai préféré une douche à la petite baignoire,"8,0",Hôtel,Paris," 8,0 "
Justine,France,0,2019-12-05,Superbe,"Localisation top, chambre spacieuse et propre. Moderne.",Dommage qu’il n’y ai pas un parking pour les clients,"8,8",Hôtel,Paris," 8,0 "
Omar,France,0,2019-12-04,Très bien,"Gentillesse des femmes de ménage et très sympathiques, souriantes. 
Position de l'hôtel correcte, quartier sympa et proche métro.",None,"8,0",Hôtel,Paris," 8,0 "
Christophe,France,0,2019-12-03,Très bien,Super rien à redire,None,"8,3",Hôtel,Paris," 8,0 "
Xavier,France,0,2019-11-26,Très bien,le staff ! top pro et cool,None,"8,0",Hôtel,Paris," 8,0 "
Eric,France,0,2019-11-26,globalement très bien,la disponibilite du personnel,None,"8,0",Hôtel,Paris," 8,0 "
Kareen1209,France,0,2019-11-24,Fabuleux ,"Le lit, l'emplacement (bouche de métro juste en face).",La chambre un peu trop chauffée.,"9,2",Hôtel,Paris," 8,0 "
Devin,France,0,2019-11-23,"Bien, sans incidents.","Staff très bien, très accueillant",Baissez le chauffage,"7,0",Hôtel,Paris," 8,0 "
Jacques,Guadeloupe,0,2019-11-21,Séjour novembre 2019,Second séjour dans cet établissement. Personnel à l’accueil très courtois et efficace. Situation de l’hôtel à 50 m de la station de métro Pernety donc très pratique à deux stations de Montparnasse. Quartier de la Gaité tout proche ce qui permet de sortir.,Attention pour Uber la géolocalisation ne fonctionne pas bien pour situer l’hôtel. Le chauffeur n’a pas trouvé.,"9,2",Hôtel,Paris," 8,0 "
Marine,France,0,2019-11-20,Très bien,Bien,L'absence de prise électrique à côté du lit,"9,0",Hôtel,Paris," 8,0 "
Aline,France,0,2019-11-18,Très bien,Personnels très agréable. Chambre très propre.,None,"8,0",Hôtel,Paris," 8,0 "
Sylvie,France,0,2019-11-15,Très bon rapport qualité prix,"Emplacement idéal par rapport à Montparnasse, accueil chaleureux. Intérieur très cosy.",None,"9,0",Hôtel,Paris," 8,0 "
Patricia,France,0,2019-11-13,la propreté est à revoir.,"le calme , la taille de la chambre et de la salle de bain et la situation géographique.","grande salle de bain mais pas de place pour poser ses affaires, drap de bain très douteux voir déjà utilisé et pas changé !!!!","7,0",Hôtel,Paris," 8,0 "
Cedric,France,0,2019-11-11,Bien ,"Globalement l'hotel est bien, literie confortable et petit déjeuner copieux.l'emplacement à proximité du métro est un vrai plus.","L'isolation phonique de la chambre est insuffisante, côté rue assé bruyante et peut être gênant pour les sommeil léger.","7,5",Hôtel,Paris," 8,0 "
Tony,France,0,2019-10-25,Agréable,None,Hôtel tres bruyant,"6,7",Hôtel,Paris," 8,0 "
Thierry,France,0,2019-10-20,Bon rapport qualité prix,"Sa situation géographique, la chambre donne sur une rue calme","Mal insonorisé entre chambres, petit dej pas top","7,1",Hôtel,Paris," 8,0 "
Hugues,France,0,2019-10-14,Exceptionnel,Accueil du personnel,Le sèche cheveux peu efficace,"9,5",Hôtel,Paris," 8,0 "
Brigitte,France,0,2019-10-10,Superbe,"L'amabilité du personnel 
La literie",Manque une prise électrique vers le lit,"8,8",Hôtel,Paris," 8,0 "
Annick,France,0,2019-10-07,Très bien,"Amabilité du personnel. 
Chambre agréable et bien équipée.
Literie confortable.
Bonne situation géographique, métro au pied de l'hôtel.",Salle de bains un peu exigüe.,"8,0",Hôtel,Paris," 8,0 "
Elodie,France,0,2019-10-04,Bien personne très agréable,"Le lit confortable et de bonne taille
La propreté du lieu","Chambre très petite 
La chambre avait besoin d'un coup de neuf (mur tachés)","7,0",Hôtel,Paris," 8,0 "
Jeremie,France,0,2019-10-02,Très bien,"L’emplacement est très bien par rapport à la Gare Montparnasse 
L’hôtel est assez calme, la salle de bain de la chambre a été refaite il y a peu","Le petit déjeuner est vraiment restreint pour 12€50
La chambre est relativement petite, le lit prenant beaucoup de place","8,3",Hôtel,Paris," 8,0 "
Laurent,Nouvelle-Calédonie,0,2019-09-27,Stop économique proche Montparnasse,"Pour un stop à Paris assez proche de la gare Montparnasse, et pas trop cher, c'est bien. Métro Pernety très proche. Petit déjeuner correct. Bonne communication avec l'hôtel, à distance, pour gérer la réservation.","Chambres qui manquent un peu d'isolation par rapport au bruit, de la rue et de l'escalier, mais cela n'est pas rédhibitoire.","8,8",Hôtel,Paris," 8,0 "
Ravel,France,0,2019-09-25,Bien ,L emplacement très central proche du métro literie confortable chambre au calme,Chambre fonctionnelle mais un peu austère beaucoup moins bien que celle d un séjour préalable une semaine plus tôt alors que je l avais payé plus chère,"7,1",Hôtel,Paris," 8,0 "
Pétronille,France,0,2019-09-18,Un bel hôtel confortable,"J'ai beaucoup aimé l'emplacement de l'hôtel qui correspondait parfaitement à mes besoins. Situé dans un quartier calme, ma chambre donnait en plus sur une rue piétonne. Le lit et la salle de bain étaient très agréables après deux jours de voyage. Je suis rentrée tard le soir mais n'ai eu aucun problème pour rentrer dans l'hôtel et accéder à ma chambre!","Peu de choses à améliorer... Grande amatrice de thé, j'aurais simplement aimé avoir à disposition une tasse à côté de la bouilloire et pas un gobelet en plastique...","9,2",Hôtel,Paris," 8,0 "
Denis,France,0,2019-09-09,Bien ,"L accueil, la situation de l hôtel proche de nombreuses curiosités rue des thermopyle, citée boer....
Disponibilité et sourire de l ensemble de l èquipe",Il nous a manqué des prises usb ou électrique pour recharger nos appareils,"7,9",Hôtel,Paris," 8,0 "
Régine,France,1,2019-09-09,"hotel charmant, bien situé, personnel accueillant","petit hôtel charmant, propreté irréprochable, accueil du personnel chaleureux
très bon petit déjeuner copieux
service de bagagerie très pratique","housse de couette légèrement déchirée
éclairage de la chambre trop fort ou pas assez
salle de bain exiguë","9,2",Hôtel,Paris," 8,0 "
Cindy,France,0,2019-09-02,Bien ,"chambre grande et confortable.
Propreté.
Personnel accueillant et chaleureux.","manque de prises à côté du lit et dans la salle de bain.
Salle de bain trop petite.","7,1",Hôtel,Paris," 8,0 "
Nicole,France,0,2019-09-01,Fabuleux ,pas pris de petit déjeuner a l'hôtel l'hôtel parfait propre agréable dans une petite rue calme pas trés loin d'une station de métro,None,"9,2",Hôtel,Paris," 8,0 "
Myriam,France,0,2019-08-29,Nuit agréable dans l'ensemble avec un gros bémol,"La litterie est ferme mais confortable, la proximité du métro est génial pour se déplacer dans Paris",Le prix du petit déjeuner est exagérément cher compte tenu qu'il n'y a rien d'extraordianaire de proposé,"7,1",Hôtel,Paris," 8,0 "
Sara,France,0,2019-08-04,Hotel super. Personnel moyennement acceuillant,l'hotel et son équipement sont très bien,Le personnel à la réception sont moyen,"8,3",Hôtel,Paris," 8,0 "
Sabrina,Martinique,0,2019-07-28,Très correcte,"Super literie 
La clim fonctionne bien",La clim faisait du bruit ainsi que le radiateur,"8,3",Hôtel,Paris," 8,0 "
Bertrand,France,0,2019-07-22,Je reviendrai,"Lit confortable, personnel à l'écoute, serviable",None,"8,8",Hôtel,Paris," 8,0 "
Claudine,Martinique,0,2019-07-14,"Sejour appréciable, bonne accueil, chambre propre et climatisée","Le plateau de bienvenue avec thé, café, biscuits, bouilloire. 
La qualité de la loterie, la douceur de la couette
Chambre sur rue calme, pavée pleine de verdure","Sortie de baignoire un peu trop haute, un marché pied serait bienvenue","8,3",Hôtel,Paris," 8,0 "
Melissa,France,0,2019-07-11,Hotel parfait pour découvrir Paris ou pour un passage rapide dans la capitale,La chambre était spacieuse et très calme. L'hotel est bien situé et facile d'accès. Le personnel a été charmant et efficace.,None,"8,3",Hôtel,Paris," 8,0 "
Valerie,France,0,2019-06-27,Très bien,Le personnel adorable,None,"8,3",Hôtel,Paris," 8,0 "
Aurore,France,0,2019-06-22,Bien ,L’accueil par les réceptionnistes (jour et nuit) qui étaient très souriants et soucieux du bien être de leurs clients.,Femme du ménage qui est entrée dans notre chambre à 2 reprises en 1/2 heure d’intervalle et sans même frapper. Nous n’avions pas de panonceau «ne pas déranger » à notre disposition.,"7,1",Hôtel,Paris," 8,0 "
Georges,France,0,2019-06-20,Très bien,"Chambre et établissement très propres.
La climatisation était appréciable au dernier étage.",None,"8,3",Hôtel,Paris," 8,0 "
Patrice,France,0,2019-06-20,Agréable,None,Je ne passerai plus par votre site la chambre était plus chère qu'en direct et j'avais réservé une chambre avec deux lits que je n'ai pas eu.,"6,7",Hôtel,Paris," 8,0 "
Alain,France,0,2019-06-02,Bien ,"L’accueil, la literie","Salle petit déjeuner très petite, pas très agréable","7,5",Hôtel,Paris," 8,0 "
Helene,France,0,2019-05-30,"Hôtel très bien situé, et bon rapport qualité prix.","Chambre spacieuse, confortable et propre. Salle de bains propre et assez spacieuse avec produits de toilettes. Très grand lit confortable. Chambre donnant sur la rue, mais calme. Présence d'un ascenseur. Personnel très aimable et souriant. Mise à disposition dans la chambre d'un porte revue avec toutes les informations pratiques sur les services de l'hôtel mais aussi des propositions de visites. Hôtel très bien situé, à 50m de la station de métro Pernety. Quartier vivant et agréable.",Un plateau de courtoisie aurait été apprécie pour une chambre présentée comme de qualité supérieure. Il faisait chaud malgré la clim (absence de la notice d'utilisation). Le double rideau mériterait d'être changé. La moquette au sol n'est pas ce qu'il y a de plus satisfaisant mais propre et entrenue.,"8,3",Hôtel,Paris," 8,0 "
Zirah,France,0,2019-05-23,Bien ,None,Personnel,"7,1",Hôtel,Paris," 8,0 "
Dominique,France,0,2019-05-22,Bon établissement mais un peu cher,"Bonne literie 
Quartier agreable",None,"7,5",Hôtel,Paris," 8,0 "
Bernarddd,France,0,2019-05-20,Parfait,"Accueil sympathique. Propreté. Plateau de courtoisie (bouilloire, café, gâteau). Douche chaude et puissante. Prix contenu.",None,"8,8",Hôtel,Paris," 8,0 "
Angeliquelagarde,France,0,2019-05-16,Bien ,l acceuil le confort le rapport qualite/prix et l'emplacement proche du métro et de la gare,aucun,"7,9",Hôtel,Paris," 8,0 "
Delphine,France,0,2019-05-07,bien,"propreté, qualité literie",petite surface de la chambre et de la salle de bain,"8,3",Hôtel,Paris," 8,0 "
Cyrillcht,France,0,2019-04-18,Superbe,"Bon rapport /qualité prix. Bien situé , quartier agréable. Literie confortable, accueil sympathique...chambre décoré avec goût.","Mobilier et murs très abîmés dans la chambre. Très bruyant , surtout le matin...et le rideau laisse trop passer la lumière. Chambre assez petite , chaise de bureau collé au lit ce qui n’est pas pratique.","8,8",Hôtel,Paris," 8,0 "
Frédéric,France,0,2019-04-05,Excellent hôtel,"Tout était parfait...
Personnel sympa.",None,"9,2",Hôtel,Paris," 8,0 "
Laurent,France,0,2019-03-28,Superbe,Accueil. Le personnel disponible est souriant,None,"8,8",Hôtel,Paris," 8,0 "
Jaulin,France,0,2019-03-21,Excellent séjour,Bon rapport qualité/prix. Situation idéale près de Montparnasse. Calme,None,"8,3",Hôtel,Paris," 8,0 "
Lucie,France,0,2019-03-21,Plus que correct,"Décoration de la chambre, situation géographique...",Impossible de prendre un bain? bouchon ne se fermait pas... Volontairement ?,"7,9",Hôtel,Paris," 8,0 "
Roclo,France,0,2019-02-25,Fabuleux ,"Bon rapport qualité prix. Hôtel calme.
À proximité du métro et de la gare Montparnasse. 
Personnel serviable.",None,"9,2",Hôtel,Paris," 8,0 "
Anne-marie,France,0,2019-02-20,Très bien,Bon confort accueil chaleureux calme,Rien,"8,3",Hôtel,Paris," 8,0 "
Slim,France,0,2019-02-17,Très bien,"Accueil chaleureux et serviable 
Attentionné","Gros problème de sonorisation 
J’attendais les conversations des clients voisins","8,3",Hôtel,Paris," 8,0 "
Rene,France,0,2019-02-10,Superbe,Hotel calme et personnel accueillant,Salle de bain un peu petite,"8,8",Hôtel,Paris," 8,0 "
Thierry,Maroc,0,2019-02-04,Fabuleux ,"Petit hôtel sympathique dans une rue calme.
Le service est correct
Le buffet petit déjeuner complet",None,"9,2",Hôtel,Paris," 8,0 "
Hervé,France,0,2019-02-03,TOP!,"Proche gare Montparnasse et quartier sympa.
Accessible très facilement en métro.
Très bon rapport qualité/prix.
Personnel très accueillant.",Rien à signaler....peut être chambre un peu trop chauffée!,"7,5",Hôtel,Paris," 8,0 "
Corinne,France,0,2019-02-03,Parfait.,"La proximité avec la Gare Montparnasse, la literie et le quartier. Très bon rapport qualité prix.",Rien pour accrocher les serviettes dans la salle de bain.,"7,5",Hôtel,Paris," 8,0 "
Eric,France,0,2019-01-30,"bon emplacement, quartier agréable , proximité métro","chambre spacieuse, équipements corrects :penderie de bonne taille,bureau,bouilloire, café,tv; salle de bain bien équipée",emplacement à côté de l ascenseur (bruit de machinerie),"6,7",Hôtel,Paris," 8,0 "
