nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Sandrine,France,1,2018-10-19,Très satisfaits de notre séjour! Adresse à retenir!,"La personne qui nous accueille (Nadine) est exceptionnelle, elle est disponible, gentille, se plie en quatre pour nous satisfaire. Rien à redire! La vue est sublime, l'appartement chaleureux.",Il faudrait éventuellement envoyer un plan d'accès car le GPS n'emmène pas au bon endroit (seul bémol).,10,Appartement,Fleury," 7,9 "
Anne,France,0,2019-06-10,Appartement très bien placé!,"Nous cinq était accueilli par Nadine, très arrangeante!",Pas de commentaires négatifs,"8,8",Appartement,Fleury," 7,9 "
Valérie,France,0,2019-10-11,Bon ,La vue sur mer.,"Payer 40 euros pour le ménage de sortie 
... alors que j'ai dû le faire en arrivant.","5,8",Appartement,Fleury," 7,9 "
Samantha,France,0,2019-09-01,Bon week-end,"Les équipements, la proximité et l’accueil",Pas de commentaires négatifs,"9,6",Appartement,Fleury," 7,9 "
Jean-jacques,France,0,2018-10-18,Idéal pour un cour séjour.,"Suite aux intempéries l'eau s'infiltrait par la porte de la terrasse,obliger de positionner serpiere et fermer les volets.canapé pas confortable !!.","Suite aux intempéries l'eau s'infiltrait par la porte de la terrasse,obliger de positionner serpiere et fermer les volets.canapé pas confortable !!.","6,2",Appartement,Fleury," 7,9 "
Simon,France,0,2019-11-15,Bien ,Ce client n'a pas laissé de commentaire.,Pas de commentaires négatifs,"7,9",Appartement,Fleury," 7,9 "
