nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Dorothée,France,0,2019-08-23 00:00:00,Nous ne remettrons JAMAIS les pieds dans un IBIS BUDGET Hôtel !,None,"Chambre : Lit inconfortable, seulement un seul oreiller/pers (tout plat !), mal de dos et au cou assuré !! ; même pas un petit placard ou étagère, seulement une pauvre petite tablette et tabouret en plastique ; le sol était tâché et rempli de traces de brûlé ; traces de moisissures, de saletés un peu partout ; serrure porte de la petite salle d'eau cassé ; ect ect
Insonorisation INEXISTANTE ! : bruits de dehors (voiture, autoradio,...) et bruits du couloir, des autres chambres, des portes, des canalisations,ect ect 
Accès à la salle petit déjeuner = zéro ; seulement par ascenseur, mais le problème est que les employés n'ont à priori pas d'autres choix que d'utiliser le même ascendeur, quelle pagaille le matin !! Nous avons mis quasi 30 minutes pour enfin arriver au petit déjeuner et le service allait fermer !! Et très mal organisé.... Le petit déj est beaucoup trop cher pour ce qu""ils proposent ! Et il en est de même pour la chambre !!","3,3",Hôtel,Toulouse," 7,5 "
Chakib,France,0,2019-08-17 00:00:00,Bien,Le personel le petit déjeuner tre bien,La litri les cousin pas confortabel,"5,0",Hôtel,Toulouse," 7,5 "
Kamal,France,0,2019-08-05 00:00:00,Décevant,Le professionnalisme des personnes à l'accueil,La literie laisse à désirer le rideau de la fenêtre laisser passer la lumière les petit déjeuner sont beaucoup trop cher pour ce que s est.,"4,6",Hôtel,Toulouse," 7,5 "
Nicolas,France,0,2019-08-03 00:00:00,"Sale, vieillot et peu confortable",Le personnel est gentil. La situation géographique est bien. Parking.,"La propreté : c'était trop sale. Il a fallu faire le lit pour la troisième personne. Couette trop petite, trop étroite, un seul ascenseur en fonctionnement, places de parking trop étroites, petit déjeuner pas terrible.","5,0",Hôtel,Toulouse," 7,5 "
Christian,Brésil,0,2019-07-27 00:00:00,pas formidable cet hôtel ni l'organisation ni la localisation ni la manutention,"On a aimé visiter Toulouse , les gens sont sympa , toujours serviables et prêt à vous aider ou ayant un petit mot gentil. pour l’hôtel Ibis budget, c'est autre chose , quand on est arrivé c'était propre , on a découvert par contre qu'il n'y avait pas de restaurant ou de station de Métro à moins de 600 mètres de l'hôtel, bon un peu ennuyant pour un enfant de 4 ans qui nous accompagnait.",".Il y a bien un Bus n° 27 qui ne passe que dans un sens le long du canal du Midi mais pendant l'été c'est plutôt une attente de 40 minutes au soleil qui s'impose. Bref le premier soir on a constaté que l'air conditionné ne marchait pas bien. il s'arrêtait au bout de 3 minutes et repartait au bout de 30 minutes ,puis nous avons découvert que le petit déjeuné n'était pas inclus avec Booking.com alors qu'avec Hotel.com il était inclus. (on a cru faire une bonne affaire avec booking mais finalement on a payé plus cher) Bref ma femme a demandé à la femme de chambre de ne pas faire la chambre à 10 h car elle voulait prendre un bain en remontant du petit déjeuner .Lorsque nous sommes remonté dans la chambre à 18 heures après notre sortie (visite de Toulouse) nous avons découvert que la chambre était en désordre les linges mouillés par terre dans la salle de bain les poubelles pleines bref quand je suis descendu réclamer la responsable a pris un cahier et m'a dit que pour elle la chambre avait été faite. En plus un des deux ascenseurs ne marchait pas mais aucune maintenance pour le réparer , on devait se partager un seul ascenseur pour les touristes avec leur bagages et les femmes de chambre avec leur chariots d'ailleurs il y en avait assises dans le couloir à attendre que le mouvement des touristes diminuent pour retravailler. bref le lendemain rebelote l'air conditionné ne marche pas et l'évier est bouché (il l'était le jour avant mais on n'avait pas vu) la chambre est sale et de nouveau une personne se propose de la faire alors qu'on est en train de s'habiller puis lorsqu'on revient de la visite de Toulouse ,tout est sale et le lit pas fait, rebelote la responsable dit que pour elle la chambre a été faite... finalement on nous change de chambre mais pas vite... on a du attendre une heure.","4,2",Hôtel,Toulouse," 7,5 "
Aititeal,France,0,2019-07-23 00:00:00,3jours de déception,"J'ai apprécié la taille de la chambre double qui est agréable.
La salle d'eau aussi malgré les toilettes a l'intérieur. 
Pas loin de la gare et du centre ville!
Le prix n'est pas négligeable","Vous êtes bien accueilli selon le personnel, les règles sont aussi défini selon le personnel. 
Les informations sont transmises au goutte à goutte. 
Et pire si vous avez un animal ne rester pas plus d'un soir. 
Un seule ascenseur monte jusqu'au 8eme étage c'est une galère car il faut jongler avec un autre ascenseur mais qui ne monte que jusqu'au 7ème. 
Petit déjeuner de super marché mais bon
Dans la chambre très peu pour ne pas dire inexistant un endroit pour posé ces vêtement sa valise. 
Le ménage est très sommaire, juste changer les draps serviettes, même pas le sol de nettoyer.
Hôtel parfait pour un soir ou deux limite pas plus.","4,6",Hôtel,Toulouse," 7,5 "
Ibrahim,Maroc,0,2019-07-12 00:00:00,"qualité de service médiocre, norme minimal présente",J'ai,personnelle ne se comporte pas très bien avec la clientèle,"4,2",Hôtel,Toulouse," 7,5 "
Emiliano,France,0,2019-07-08 00:00:00,"ibis budget de base, au rapport qualité prix pas terrible","literie correcte, climatisation.","pas si proche de la gare que ca, quartier pas terrible, accueil spartiate, la douche et salle de bain ultra basique, serviette de bain super cheap.","4,6",Hôtel,Toulouse," 7,5 "
Brigitte,France,0,2019-07-05 00:00:00,Passable,La situation,La salle de bains,"5,0",Hôtel,Toulouse," 7,5 "
Catherine,France,0,2019-06-29 00:00:00,adresse à oublier,None,"L'emplacement laisse à confusion Ibis centre gare laisse penser qu'il est proche de la gare ce n'est pas le cas 15 mn à pied dans une ville non connue et à 3 h du matin car retard du train Porte fermée j'ai sonné tambouriné plus de 5 mn après, au moment ou j'allais repartir vers la gare le gardien m'a ouvert j'avais averti de mon retard par téléphone chambre sommaire","4,6",Hôtel,Toulouse," 7,5 "
