nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Stéphane,France,0.0,2019-08-15 00:00:00,Sans plus,"-L’emplacement 
-La piscine 
-La vue","-Le prix d’une bouteille d’eau 1L a 5 euros et les boissons 33cl 4,50 euro , je trouve cela excessif. 
-Les draps ne sont pas changer quotidiennement. 
-A chaque douche la salle de bain était inondée d’eau (car la jointure entre la vitre et le carrelage de la baignoire n’était pas correcte).
-Le personnel n’était pas accueillant","5,8",Hôtel,Cannes," 7,6 "
Guy-patrick,France,0.0,2019-08-09 00:00:00,Décevant,La localisation,"Hôtel vieillot, la chambre n’était pas faite : bouteille d’eau ouverte, bouée sur la terrasse, rouleaux de papier toilette sur la table de nuit, savon déjà utilisé sur le lavabo…","4,6",Hôtel,Cannes," 7,6 "
Lilo,Algérie,0.0,2019-08-07 00:00:00,Fabuleux ,tout lemplacement le confort la proprete le personnel et l equipment de l hotel,rien a dire,"9,2",Hôtel,Cannes," 7,6 "
Karim,France,0.0,2019-08-02 00:00:00,Parfait,Le personnel est très sympathique,Ras,10,Hôtel,Cannes," 7,6 "
Maher,France,0.0,2019-07-31 00:00:00,Assez médiocre ,Certains membres du personnel étaient aimables,"Le service d'entretien laisse à désirer. Chambres non parfaitement propre après le passage de l'équipe d'entretien.
Chambres pas assez spacieuse pour un quatre étoiles","3,8",Hôtel,Cannes," 7,6 "
Isabelle,France,0.0,2019-07-27 00:00:00,Exceptionnel,"Bonjour, chambre très bien situé avec un grand balcon vu mer et jardin, le personnel est très à l’écoute et aimable,chambre très propre, nous reviendrons sans hésiter dans la 318 .Cordialement Isabelle et Christian",None,10,Hôtel,Cannes," 7,6 "
Karim,France,0.0,2019-07-26 00:00:00,Excellent je recommande!,"Hôtel parfait , personnel au top, je recommande vivement!","bon emplacement géographique, belle hôtel tt était parfait!",10,Hôtel,Cannes," 7,6 "
Derya,Belgique,0.0,2019-06-28 00:00:00,Hotel à recommander sans aucun problème!,Le lit est super confortable et très bon petit déj. bel hotel.,La grandeur des chambres.,"9,2",Hôtel,Cannes," 7,6 "
Kadri,France,0.0,2019-06-14 00:00:00,Exceptionnel,Le meilleur lit de ma vie,Le parking,"9,6",Hôtel,Cannes," 7,6 "
Elodie,Suisse,0.0,2019-06-09 00:00:00,Fabuleux ,L’emplacement de l’hôtel est vraiment top. Il est à proximité de tous.,None,"9,2",Hôtel,Cannes," 7,6 "
Bankuna,France,0.0,2019-05-12 00:00:00,Exceptionnel,"Le service la vue
Genial
Super moment",None,10,Hôtel,Cannes," 7,6 "
Sylvaine,France,0.0,2019-04-23 00:00:00,hotel clame et reposant.,"chambre avec balcon vu sur la mer, calme",prix du parking trop cher.,"9,6",Hôtel,Cannes," 7,6 "
Stephan,France,0.0,2019-04-20 00:00:00,Exceptionnel,Qualité de l’accuei,None,10,Hôtel,Cannes," 7,6 "
Adriano,France,0.0,2019-04-09 00:00:00,Bien,La ville,Les travaux dans ville,"9,2",Hôtel,Cannes," 7,6 "
Mme,France,0.0,2019-04-02 00:00:00,Passable,CANNES N'A PAS ENCORE FINI AVEC LES TRAVAUX ROUTIERS ET JE NE POURRAIS PAS TROUVER MON COMPTE BANCAIRE COMPTANT,None,"5,0",Hôtel,Cannes," 7,6 "
Johanna,France,0.0,2019-02-24 00:00:00,Très bien envie de revenir,"La possibilité de boire un café au réveil
Les toilettes séparés de la salle de bain
La vue sur piscine et mer",Les plumes dans le néon de l'ascenseur 😁😜,10,Hôtel,Cannes," 7,6 "
Marion,France,0.0,2019-02-04 00:00:00,Exceptionnel,"proximité de la plage, bruit des vagues, parking en sous-sol. Lounge et salle de petit-déjeuner accueillants et chaleureux",vissage robinet sdb et vissage porte papier wc,"9,6",Hôtel,Cannes," 7,6 "
Daniela,France,0.0,2019-01-03 00:00:00,Exceptionnel,Hôtel bien situé; les chambres propres et le personnel très accueillant. Je recommande.,None,10,Hôtel,Cannes," 7,6 "
Mme,France,0.0,2018-12-28 00:00:00,Agréable tout simplement,La gentillesse des interlocuteurs.,Rien de particulier,"9,2",Hôtel,Cannes," 7,6 "
Zaki,Suisse,0.0,2018-09-17 00:00:00,Équipement mobilier insatisfaisant,"Grande chambre, le calme, environnement verdoyant, petit déjeuner varié.","Pas de meuble de rangement, ni tablettes ni tiroirs. Uniquement une petite penderie inaccessible tellement elle est placée haut. Pas de frigo. Ce n’est pas un 4 étoiles. Notre réclamation à la réception est restée sans réponse. Dommage!","5,8",Hôtel,Cannes," 7,6 "
Nora,France,0.0,2018-08-27 00:00:00,Passable,J’ai aimer la simplicité des chambres,J’ai changer deux fois de chambre et dans les deux chambre que j’ai eu y avais des insectes..,"5,4",Hôtel,Cannes," 7,6 "
Do,France,0.0,2018-08-16 00:00:00,Passable,la piscine,"le lit
le parking payant","5,0",Hôtel,Cannes," 7,6 "
Bruno,France,0.0,2018-08-13 00:00:00,Bon ,ras,"restaurant sans interets
manque les plats annonces sur la carte
plus d'une heure d'attente avant le premier service","5,8",Hôtel,Cannes," 7,6 "
Pedro,Suisse,0.0,2018-08-06 00:00:00,Deplorable,Rien!!!!,"La chambre n'était pas celle que nous avions réservé, nous étions
dans une chambre qui donne sur l'arrière cuisine nous avions comme
bruit du matin au soir les ventilateurs des frigos vaisselles et autres
:( de plus il nous a été impossible de ranger nos affaires puisque les
étagères sont inexistantes, nous avons fait 10 nuits pour 1987.- chf et
nous devions laisser nos affaire dans la valise! C'est scandaleux
Pas de mini bar dans les chambres
Pas de bar dans la piscine comme mentionné dans votre annonce ( pub mensongère ) 
Jamais de stock!!! 
Pas de pailles pour les mojitos apparemment ils n'en commandent plus car les clients les volent!!! 
Petit dej : nous arrivons à 9:00 nous demandons des oeufs une banane du fromage ou autre car plus rien et nous avons comme réponse : Ah ben fallait vous lever plus tôt!!!! 
 A 20:00 nous commandons une salade Cesar et la réponse : Ah désolée aujourd'hui on a pas de salade... j'en passe...
Nous avons payé un 4* étoiles mais étions dans un 2 et encore.... 
Nous sommes partis 2 jours avant la date prévue et pour rien je vous le conseille.
PS: je m'adresse à booking car pendant notre séjour nous vous avons fait un mail et n'avons encore aucune réponse de votre part!!!!!!
Bonne journée et surtout bon courage :)","3,8",Hôtel,Cannes," 7,6 "
Dorith,France,0.0,2018-08-04 00:00:00,Bon ,"La piscine 
Le petit déjeuner copieux","-La literie 
-Un peu loin du centre de Cannes a pied 
-Pas de frigo 
-Être obligé de réserver à l’avance pour dîner 
-parking 15€/jour cher pour un parking","5,8",Hôtel,Cannes," 7,6 "
Veronique,France,0.0,2018-07-26 00:00:00,déçue,franchement rien,"moquette hors d'âge
deco vieille et moche
vue imprenable sur la route
douche qui fuit
pas de frigo dans la chambre 
petit dej a l'intérieur sous une clim glaçante ou petit dej dans un couloir exterieur sous les fenêtres des chambres
produit petit dej cheap","3,3",Hôtel,Cannes," 7,6 "
Rose,France,0.0,2018-07-16 00:00:00,sejour lumineux et agréable,"établissement digne des 4 étoiles .literie très confortable. petit déjeuner copieux et diversifié.et plage publique accessible par une passerelle attenante à l hôtel. 
Personnel qualifié .Nous sommes très contents de ce séjour
Rose et Mathieu",None,10,Hôtel,Cannes," 7,6 "
Andy76360,France,0.0,2018-07-11 00:00:00,Exceptionnel,Chambre exécutif avec vue mer et piscine petit déjeuner de très bonne qualité et personnel très sympathique,None,"9,6",Hôtel,Cannes," 7,6 "
Anne,France,0.0,2018-07-03 00:00:00,trés bien j'y retournerais,"les petits dejeuner ,la piscine et le personnel ainsi que la literie",Rien,"9,6",Hôtel,Cannes," 7,6 "
