nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Jacques,Canada,0,2019-10-14,Séjours d'une journée,None,Les clients en pyjama au déjeuner,"3,3",Hôtel,Sydney," 8,1 "
Eric,Canada,0,2019-08-03,nous avons apprécié la gentilesse des employés en général,"air climatisé peu bruyant, lit confortable, bon service au déjeuner et bonne nourriture. Environnment calme",à notre arrivée la préposé n'était pas souriante. La salle de bain de la chambre est veillote. La toilette fonctionne mal. le bain est petit et la bouchon est sale.,"4,6",Hôtel,Sydney," 8,1 "
Daisy,Canada,0,2019-07-12,Ne ressemble pas aux photos,Le personnel est serviable et courtois,Les chambres sont vieilles et on peux voir de la moisissure un peu partout. La chambre et la salle de baie étaient mal propre. Le tapis était très sale. Je ne recommande pas. Le gérant disait n’avoir jamais reçu notre réservation alors que j’avais les confirmation.,"5,0",Hôtel,Sydney," 8,1 "
Jean,Canada,0,2018-08-11,Assez médiocre ,"Rien du tout,","Malpropre, bruyant et le déjeuner était loin d'être bon pour le prix que j'ai payé.","3,3",Hôtel,Sydney," 8,1 "
Ttnd,Canada,0,2018-08-04,Très décevant,Lit d appoint fourni,"Les chambres n'étaient pas prêtes à notre arrivée à 18h! Après une attente assez longue on nous a donné une chambre différente de ce qui avait été réservé, sans excuse ou dédommagement. L'hôtel a tenté de nous charger 17$ de plus que le montant réservé sur booking : attention à l'arnaque! Vaisselle jetable au petit déjeuner : totalement irresponsable et non écologique.","4,6",Hôtel,Sydney," 8,1 "
Anonyme,Canada,0,2018-09-06,Passable,Dejeuner tres bien.,Air climatisé ultra-bruyant.,"5,0",Hôtel,Sydney," 8,1 "
