nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Laurence,France,0,2018-09-15,Hôtel bien placé bon rapport qualité/prix,Besoin de moderniser les chambres sinon hôtel très correct,Hôtel vieillot,"7,1",Hôtel,Perpignan," 8,2 "
Monique,France,0,2018-09-13,Parfaitement localisé pour parcourir le festival Visa pour l'image et le centre de Perpignan.,"Chambre parfaite, lit confortable, pas de bruit de rue, climatisation efficace et salle de bain très bien équipée. Wi-fi excellent.","Oreillers trop mous à mon goût, mais c'est personnel...","9,6",Hôtel,Perpignan," 8,2 "
Simone,France,0,2018-09-12,Excellent séjour,"L'accueil formidable !
La possibilité de se garer gratuitement
La proximité du centre à pieds",les espaces de rangement un peu réduits pour trois personnes,"8,8",Hôtel,Perpignan," 8,2 "
Karine,France,0,2018-09-11,"Très bon rapport qualité prix ,pratique pour visiter Perpignan","Très bien situé à deux pas de la vieille ville 
Bon accueil 
Chambres climatisées",Pas d emplacement parking,"7,9",Hôtel,Perpignan," 8,2 "
Michel,France,0,2018-09-09,"Le petit dej, le personnel, le rapport qualité/prix!","Le petit déjeuner était bon, le personnel agréable, le rapport qualité/prix correcte, la chambre climatisé en plein mois d'aout fut apprécié bien que je n'aime pas utiliser ces appareils.","Le bruit de route ne permettait pas d'ouvrir la fenêtre, mais heureusement la chambre disposait d'une climatisation!","8,3",Hôtel,Perpignan," 8,2 "
Marianne,France,0,2018-09-08,Bien ,None,Insonorité des chambres,"7,9",Hôtel,Perpignan," 8,2 "
Jean,France,0,2018-09-03,Très bien,Accueil très sympathique,None,"9,6",Hôtel,Perpignan," 8,2 "
Laetitia,France,0,2018-08-23,Superbe,"Personnel au top, accueil très chaleureux !
Chambre sobre, mais propre, avec vue sur les Pyrénées.",None,"8,8",Hôtel,Perpignan," 8,2 "
Veronique,France,0,2018-08-22,Halte sur le retour des vacances à Perpignan,L'accueil la propreté et la localisation,Pas très design mais bon rapport qualité prix,"7,1",Hôtel,Perpignan," 8,2 "
Chrisall,France,0,2018-08-19,Exceptionnel,"Les croissants chauds, le personnel fort accueillant et agréable.",None,"9,6",Hôtel,Perpignan," 8,2 "
Maryannick,France,0,2018-08-18,Bien ,L’accueil,La porte des sanitaires qui ne permettait aucune intimité,"7,1",Hôtel,Perpignan," 8,2 "
Sahna,France,0,2018-08-13,Tout était parfait,Tout était parfait,Rien du tout,"9,6",Hôtel,Perpignan," 8,2 "
Anne,France,0,2018-08-13,Très bien,"Chambre simple et propre
Accueil très sympathique",Signal Wifi faible,"8,3",Hôtel,Perpignan," 8,2 "
Melina,Grèce,0,2018-08-08,Très bien passé.,Personnel très sympa ! Joli chambre avec balcon.,None,"9,2",Hôtel,Perpignan," 8,2 "
Angelique,France,0,2018-08-02,relativement bien,accueil chaleureux et sympathique toujours prêts à vous renseigner,"chambre et salle de bain qui aurait besoin d un rafraîchissement,surtout la porte accordéon de la salle de bain ( très bruyante)","7,9",Hôtel,Perpignan," 8,2 "
Amelie,France,0,2018-07-27,Exceptionnel,Tout,Ras,"9,6",Hôtel,Perpignan," 8,2 "
Abdelmalek,France,0,2018-07-22,Superbe,Contact,Très bon accueil .personnel agréable ..petit déjeuner complet...a recommander,"8,8",Hôtel,Perpignan," 8,2 "
Frederic,France,0,2018-07-17,Superbe étape sur la route des vacances.,"Superbe literie neuve. Nous avions deux chambres fraichement rénovées avec goût. Hotel idéalement situé pour visiter Perpignan ou faire étape avant l'Espagne.
Accueil très chaleureux et service parfait. On y passe chaque année avec plaisir.",Un peu se salé au petit dej même s'il faut payer un peu plus.,"9,6",Hôtel,Perpignan," 8,2 "
Louise,France,0,2018-07-10,"chambre très agréable, je recommande","La chambre était propre et grande, avec bouilloire, télé (dommage pas la 2, 3, 5, ô et Arte, mais j'ai trouvé de quoi faire) ; la salle de bain, la literie et clim étaient super bien, je recommande cet hôtel, je n'y ai pas pris de petit déjeuner",None,"8,3",Hôtel,Perpignan," 8,2 "
Catherine,France,0,2018-06-26,Bon confort et pratique car à proximité du centre historique de Perpignan - Accueil sympathique,"Décoration de la chambre même si un peu petite (bémol pour allumer de l'extérieur la salle d'eau)
Petit déjeuner très correct
Bon rapport qualité / prix",None,"9,6",Hôtel,Perpignan," 8,2 "
Daniele,France,0,2018-06-21,Très bon séjour,Tout le petit déjeuner était bien j’aurai préféré un grand bol pour mon thé à la place d’une tasse,l’abscence de parking,"7,9",Hôtel,Perpignan," 8,2 "
Antoine,France,0,2018-06-11,Fabuleux ,"L'accueil est excellent, très avenant, parfait.","Il manque de quoi écrire, une petite table, une chaise adaptée... 
Le quartier est un peu triste...","9,2",Hôtel,Perpignan," 8,2 "
