nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Gilbert,France,0,2019-04-24 00:00:00,tres décu de l'accueil indique de cet hôtel 5étoiles,None,"Ce séjour m a été offert et payé, par ma fille jennifer DI CAMILLO(pour mon Anniversaire); en arrivant l 'hôtel exige une caution de 250 euros (avance sur consommation)?
mais ma Carte Premier ne leur convenait pas ( n'étant pas celle qui a réglé la réservation )et pourtant meme nom de famille. ils nous ont obligés à effectuer un pré paiement de 454,60 ( soit 250E plus le prix de la chambre ) et exiger que notre fille leur adresse un mail certifiant qu elle était bien l'auteur de la réservation....
l'accueil est indigne de cet Hotel
et nous ont affirmés que c'était booking qui imposait ces procédures.!
La discrétion et la confidentialité n'ont pas été respectées lors de notre arrivée","3,8",Hôtel,Cannes," 9,1 "
Antoine,France,0,2019-04-20 00:00:00,Déçu,Cadre agréable.,Le service de chambre dit toujours 'oui' mais ne fait pas ce qu'il s'est engagé à faire.,"7,1",Hôtel,Cannes," 9,1 "
Victoria,France,0,2019-03-08 00:00:00,Bien ,None,les fenêtres sont sales,"7,5",Hôtel,Cannes," 9,1 "
Denis,France,0,2019-02-01 00:00:00,je suis satisfait,amabilitedu personnel au spa,les tables du petit-déjeuner sont trop petites,"7,1",Hôtel,Cannes," 9,1 "
Bobbypersonneni,France,0,2019-01-26 00:00:00,Bon ,None,Je m attendais à quelque chose de bien mieux,"5,8",Hôtel,Cannes," 9,1 "
Laurent,France,0,2019-01-23 00:00:00,DECEVANT,Lit confortable,"Situation de la chambre vue toits , absence de baignoire , flexible de la douche qui fuyait , trou et tache sur la housse de couette .
Surtout les prestations n étaient pas du tout à la hauteur sachant que c était l anniversaire de mon époux et que je l avais signalé !","5,0",Hôtel,Cannes," 9,1 "
Sylvie,France,0,2018-10-29 00:00:00,bien mais pas aux attentes d'un palace au niveau du service et des attentions du personnel,"prestigieux palace refait à neuf et bien placé 
voiturier au top","pour un établissement de cette catégorie : service en chambre avec un temps d'attente excessif , ex pas de changement des tasses utilisées entre l' am et le soir il faut faire sa vaisselle ? pas de dispositif wifi bluthooth pour accepter un branchment de musique via un i phone par ex dans la chambre . le bar de l'hotel est prévu pour l'été en terrasse sinon en cette saison c'est limité","6,7",Hôtel,Cannes," 9,1 "
Anonyme,France,0,2020-03-15 00:00:00,Fabuleux,"Magnifique séjour et personnel plein d attentions 
Superbe Vue sur la mer",None,"9,6",Hôtel,Cannes," 9,1 "
Anonyme,France,0,2020-02-28 00:00:00,Exceptionnel,L accueil du personnel excellent hôtel au top superbe,Rien,10,Hôtel,Cannes," 9,1 "
Anonyme,France,0,2020-02-22 00:00:00,Exceptionnel,"Tout : qualités des services, l’accueil, la propreté, l’emplacement, idéal avec un petit déjeuner au soleil en terrasse. Parfait nous y retournerons avec plaisir.",None,10,Hôtel,Cannes," 9,1 "
Anonyme,France,0,2020-02-21 00:00:00,Exceptionnel,La disponibilité du personnel,None,"9,6",Hôtel,Cannes," 9,1 "
Anonyme,France,0,2020-02-15 00:00:00,Exceptionnel,Tout,Rien,10,Hôtel,Cannes," 9,1 "
Francois,France,1,2019-02-17 00:00:00,Séjour de rêve à Cannes,"Tout, emplacement idéal, personnel gentil, souriant et attentionné, chambres spacieuses et bien équipée, design recherché et ambiance luxe sans excès : le bon goût à la française.",Rien... si ce n'est le séjour trop court !!,10,Hôtel,Cannes," 9,4 "
Paul,Suisse,0,2020-04-02 00:00:00,Exceptionnel,.,.,10,Hôtel,Cannes," 9,4 "
Pierre,France,0,2020-03-09 00:00:00,Exceptionnel,Tout,Rien,10,Hôtel,Cannes," 9,4 "
Flora,France,0,2020-03-08 00:00:00,Fabuleux,Tout simplement exceptionnel... rien à rajouter ❤️,None,10,Hôtel,Cannes," 9,4 "
Barbara,France,0,2020-03-06 00:00:00,Parfait !,"Enfin un bel établissement avec un accueil chaleureux, un service au petit soin et sans chichi ! 
Merci beaucoup pour ce séjour 
Le restaurant et le bar de l’hôtel sont extra, encore félicitations à la cheffe Lori et à Max (et son équipe) pour leur convivialité !
Nous reviendrons sans hésitation !",None,10,Hôtel,Cannes," 9,4 "
Yann,France,0,2020-03-02 00:00:00,Bien,Tout sauf coussin et petit dej.,"Les Coussins pas top.
Le concierge qui nous donnes une mauvaise info concernant les horaires du petit déjeuner, il nous a confirmé les horaires jusqu’à 11h30 alors que c’était 10h30... nous sommes arrivé à 10h30, petit dej en 5 minutes.. pas cool","8,0",Hôtel,Cannes," 9,4 "
Florence,France,0,2020-03-01 00:00:00,Excellente adresse je conseille vivement,Tout,None,10,Hôtel,Cannes," 9,4 "
Dgeni,France,0,2020-02-29 00:00:00,"Établissement , personnel au top","L’emplacement , le personnel, le restaurant",None,10,Hôtel,Cannes," 9,4 "
Thibault,France,0,2020-02-27 00:00:00,Exceptionnel,"L emplacement , le personnel ,","La salle de bain avec la peinture brillante n est pas à la hauteur de l établissement 
Tv trop petite par rapport à la chambre et trop loin du lit",10,Hôtel,Cannes," 9,4 "
Alexis,France,0,2020-02-21 00:00:00,Superbe !,None,"L’établissement est superbe et idéalement situé. L’accueil est irréprochable. Le personnel est attentionné, à l’écoute et d’un grand professionnalisme. Un vrai plaisir !",10,Hôtel,Cannes," 9,4 "
Jipi,Île Maurice,0,2020-02-17 00:00:00,Parfait,"Personnel attentif et exceptionnellement attentif et professionnel !
Petit déjeuner au Roof top parfait;
Conciergerie et valet parking excellents !",Rien de spécial,10,Hôtel,Cannes," 9,4 "
Eric,France,0,2020-02-16 00:00:00,Topissime,Calme et présence attentionnée du personnel,Il manquait une enceinte que l’on peut connecter dans la chambre,10,Hôtel,Cannes," 9,4 "
Fabrice,France,0,2020-02-16 00:00:00,Exceptionnel,L’accueil parfait l’emplacement impeccable personnel au petit soin c’était parfait,None,10,Hôtel,Cannes," 9,4 "
Francois,France,0,2020-02-16 00:00:00,Fabuleux ,La chaleur de l'accueil et la disponibilité du personnel toujours souriant et à l'écoute.,Quelques petites imperfections de service et d'approvisionnement rapidement rattrapées par une réactivité et un professionnalisme rares de nos jours.,"9,0",Hôtel,Cannes," 9,4 "
Claude,France,0,2020-02-15 00:00:00,Exceptionnel,"Très bon accueil,","Équipements non raccordés,","9,6",Hôtel,Cannes," 9,4 "
Jean-claude,France,0,2020-02-11 00:00:00,Excellent séjour au centre de Cannes,"Le confort de la chambre
La salle de restaurant et petit déjeuner très agréable
La piscine bien chauffée
La situation géographique très pratique
Les multiples attentions",Rien,10,Hôtel,Cannes," 9,4 "
Severine,France,0,2020-02-07 00:00:00,"Un havre de paix et de confort et un personnel au top , merci!!!!","Un Hotel magnifique , un personnel a l'écoute qui anticipe tous nos besoins , le petit dejeuner est exceptionnel dans un cadre splendide et une vue a coupé le souffle sur cannes.",None,10,Hôtel,Cannes," 9,4 "
Laurent,Belgique,0,2019-11-15 00:00:00,"Classe, design et atmosphère chaleureuse","Localisation parfaite, personnel discret et aimable. Chambres design avec confort au top. Séjour impeccable.","Malgre la vue magnigique, la décoration du restaurant n est pas à la hauteur du reste du design de l hôtel.","9,2",Hôtel,Cannes," 9,4 "
Maximilien,Russie,0,2019-11-10 00:00:00,Escapade luxe & lounge à Cannes,Parfait mélange entre un confort haut-de-gamme et une intimité procurée par la petite taille de l'hôtel. Cela change des grands palaces du front de mer. Mention spéciale pour le roof-top avec sa musique electro lounge et ses délicieuses moscow mule. J'ai trouvé mon point de chute à Cannes.,"C'était peut être propre à ma chambre, mais certaines prises électriques et certains interrupteurs étaient difficile d'accès. Tout le reste était parfait.","9,6",Hôtel,Cannes," 9,4 "
Anthony,France,0,2019-11-03 00:00:00,Excellent !!,"Une découverte geniale!
Une rue derriere la croisette . Pres de toutes les activites de cannes mais surtout au calme avec un service exceptionnel. Une mention spéciale au roof top ou nous avons mange et passe une soiree a profiter d un coktail le tout accueilli par max: c etait parfait nous reviendrons. Merci!!",None,"9,6",Hôtel,Cannes," 9,4 "
Frédéric,France,0,2019-10-13 00:00:00,Exceptionnel,Grande gentillesse et attention du personnel,None,10,Hôtel,Cannes," 9,4 "
Bernard,France,0,2019-10-04 00:00:00,Agreable,"Suite de qualité
Literie de bonne qualité","Pas de barman pour faire un vrai capuccino 
Capuccino machine 
Obligé d’aller au bar du carlton","8,0",Hôtel,Cannes," 9,4 "
Bertrand,France,0,2019-09-29 00:00:00,Exceptionnel,le personnel est très aimable et aux petits soins pour les clients . Le roof top est exceptionnel et très fonctionnel avec une vue superbe. La piscine est un vrai plus. Les chambres sont grandes et très confortables avec une douche très agréable. La literie est très confortable. Le petit déjeuner est très qualitatif. Le mini bar offert est un vrai plus.,"Si nous devions faire quelques remarques, ce serait le prix des consommations du bar en journée (bière notamment) et le prix du parking.","9,6",Hôtel,Cannes," 9,4 "
Sens0438,France,0,2019-09-23 00:00:00,Fabuleux ,"peu de choix en pain, dommage pas de tranché à part du pain de mie",None,"9,2",Hôtel,Cannes," 9,4 "
Jean-marc,Nouvelle-Calédonie,0,2019-09-17 00:00:00,Exceptionnel,Le personnel,Rien,10,Hôtel,Cannes," 9,4 "
William,France,0,2019-08-11 00:00:00,Séjour excellent,"Personnel au top, emplacement idéal, tout était parfait. ............................................................;",Rien,10,Hôtel,Cannes," 9,4 "
Kawtar,France,0,2019-07-31 00:00:00,Exceptionnel,Excellent service,None,10,Hôtel,Cannes," 9,4 "
Vitor,France,0,2019-07-17 00:00:00,Exceptionnel,"Merci à tout le personnel outre la beauté de l'établissement ainsi que ses équipements, le personnel est vraiment très humain et aime ce qu'il fait et cela se ressent.. Un conseil allez y.",None,10,Hôtel,Cannes," 9,4 "
Rachel,France,0,2019-05-14 00:00:00,Exceptionnel,Tout,Le petit déjeuner au choix limité et trop d’extra payant,"9,6",Hôtel,Cannes," 9,4 "
Sylvain,Suisse,0,2019-04-23 00:00:00,Un hôtel correspondant à nos attentes.,"Le petit-déjeuner correspond aux normes d'un 5 étoiles
Le service de voiturier est parfait.
La grandeur de la chambre.
Les disponibilités du personnel.",Rien,10,Hôtel,Cannes," 9,4 "
Francois,Suisse,0,2019-04-19 00:00:00,Exceptionnel,La taille de la chambre et du lit. Le mini-bar à discrétion. L’accueil et le personnel très pro.,Rien,10,Hôtel,Cannes," 9,4 "
