nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Typhen,France,0,2018-11-04 00:00:00,Déçu.,None,"L'appartement sentait le tabac, lit (enfin sommier )très bas de gamme, pas de poubelle ds la salle de bain/wc et surtout pas de tri selectif pour un établissement comme celui la , c'est scandaleux
Très déçu de ce séjour.","5,0",Appart'hôtel,Nantes," 7,0 "
Edy,France,0,2018-11-04 00:00:00,Déçu. Chambre sale,"Le prix abordable, le parking et la grandeur de l'appart hôtel.",La chambre était sale. Les murs pleins de tâches. Il y avait une mauvaise odeur et c'était poussiéreux. La chambre séparé avait sa fenêtre qui ne fermait plus et le radiateur ne fonctionnait pas. La literie était propre mais inconfortable. Je suis déçu,"4,2",Appart'hôtel,Nantes," 7,0 "
Brun,France,0,2018-11-03 00:00:00,Décevant,Literie,"Appartement dégoûtant, passez votre chemin ....toiles d’araignée, éclaboussures et coulures sur les portes, moisissures dans la douche, toilettes pas propres, mauvaises odeurs...","4,6",Appart'hôtel,Nantes," 7,0 "
Karine,France,0,2018-10-30 00:00:00,Très décevant tant par la qualité des services que des produits,"La localisation correspondait bien à nos besoins, dans un quartier de bureaux, à proximité du périphérique","Les photos du site ne représentent pas l'état de la résidence et des chambres. Pas suffisamment de vaisselle (1 fourchette, 3 assiettes, …) et en plus dépareillée; les joints de la salle de bains en très mauvais état (présence forte de moisissure), pas de lumière dans la chambre, cheveux collés sur la faience dans la salle de bains, punaise trouvée dans les rideaux, tablette faisant office de chevet mal fixée, lames de parquet mal emboitées, moquette du couloir non aspirée
Sans parler des petits déjeuners, si vous arrivez au début du service il faut attendre 15 mns avant d'avoir quoi que ce soit et si vous arrivez en fin de service il n'y a plus rien, c'est des mini viennoiseries réchauffées, le café est en distributeur machine, pas de pain frais : trop cher pour la qualité des produits comme du service","4,2",Appart'hôtel,Nantes," 7,0 "
Nad,France,0,2018-10-30 00:00:00,Décevant,"Rien, si ce n'est la possibilité d'arriver et de récupérer me clefs à ma convenance.","Appartement très sale, vétuste avec des trous dans le Placo, les tapisseries arrachées....
Pas cher, mais vraiment très décevant, heureusement qu'on n'y a passé qu'une nuit.","4,2",Appart'hôtel,Nantes," 7,0 "
Nicolas,France,0,2018-10-29 00:00:00,Passable,Literie correcte et pdj très bien.,Propreté limitée poussière ++++. La vétusté de l'appartement. Ampoule séjour grillée signalée le lundi et pas changée du séjour. Volet électrique appuyez + 40 fois pour le fermer et l'ouvrir. WC chasse d'eau qui bouge. Support pommeau douche idem porte douche ferme mal. Rien à voir avec la photo du site.... .,"5,0",Appart'hôtel,Nantes," 7,0 "
Malika,France,0,2018-10-29 00:00:00,A fuir !,la literie,"chauffage en panne, manque d’hygiène, mobilier vétuste, personnel sans aucun sens du service !","3,3",Appart'hôtel,Nantes," 7,0 "
Wondy,France,0,2018-10-22 00:00:00,Évaluation suite à un week end,"La literie
Le calme pour une zone","L appartement était sale. Il y avait de la poussière partout. 
Nous étions 3. Nous avions que 1 serviette. Pas de kit gel douche que des shampoings. Pas de serpillière pour la douche.","4,6",Appart'hôtel,Nantes," 7,0 "
Maria,France,0,2018-10-21 00:00:00,Je ne recommande pas cet hôtel,L'emplacement est excellent quand on veut se rendre au stade.,"Etablissement très sale, évacuation de la douche bouchée, un énorme bruit de VMC qui empêche de dormir. Odeur nauséabonde dans la chambre. Parking non sécurisé et peu éclairé.","5,0",Appart'hôtel,Nantes," 7,0 "
Marion,France,0,2018-10-21 00:00:00,Passez votre chemin.,"Appartement spacieux, lit confortable.","Appartement dont le propreté faisait défaut (parquet avec des traces de saleté, fauteuils fortement tâchés, salle de bain avec des poils dans la vasque de la douche, des traces de savon au bord du lavabo et pire encore des projections ""suspectes"" sur la porte se trouvant face aux toilettes). Vous n'aurez un sèche cheveux que s'ils sont disponibles à la réception. Bien que spacieux la décoration de l'appartement était vétuste et ne ressemblait en rien aux photos en ligne présentant des appartements neufs. Le manque cruel de propreté et la situation de l'établissement m'ont fait écourter mon séjour. Je ne recommande pas ce lieu.","4,2",Appart'hôtel,Nantes," 7,0 "
Hans,France,0,2018-10-20 00:00:00,Sans commentaires...,Lit confortable,La grande saleté de la salle de douche.... des traces de vomissements ou autre sur la faillance autour du toilette... l'évacuation bouchée du bac a douche... la cuisine salle... la vaisselle dégueulasse... enfin bref....,"4,6",Appart'hôtel,Nantes," 7,0 "
Emilie,France,0,2018-10-18 00:00:00,Si vous n'avez pas peur de vous faire débiter votre CB sans raison et illégalement !,None,"On ne se sent pas en sécurité dans cet établissement. La propreté est relative. Les équipements (je pense notamment aux ustensiles de cuisine) sont usagés.
Au-delà de ça, le personnel a débité ma carte bancaire manuellement (donc sans autorisation de ma part et surtout sans m'en avertir) et pour une raison complètement erronée (on appelle ça du vol). Fuyez !","4,2",Appart'hôtel,Nantes," 7,0 "
Eric,France,0,2018-10-17 00:00:00,Decevant,La superficie du logement. La localisation,"Appartement pas très propre, petites réparations à prévoir, pas de poubelle dans la salle de bains ni de patère pour les serviettes.","5,0",Appart'hôtel,Nantes," 7,0 "
Fouad,France,0,2018-10-11 00:00:00,Passable,parking gratuit dans la rue,Une odeur de renfermé dans la chambre,"5,0",Appart'hôtel,Nantes," 7,0 "
Delphine,France,0,2018-10-08 00:00:00,Décevant,None,L appartement était vieux et sale,"4,2",Appart'hôtel,Nantes," 7,0 "
Nora,France,0,2018-10-08 00:00:00,Déçu et je ne recommande pas du tout,None,"L'appartement était sale et la vaisselle aussi.
Et les cartes pour accéder à la résidence et à l'appartement se sont bloqué rester 1h dehors sous la pluie en attendant l'agent de sécurité vienne nous ouvrir. Même pas un geste commercial ou des excuses.","3,3",Appart'hôtel,Nantes," 7,0 "
Stub,Belgique,0,2018-10-07 00:00:00,Déçu,Rien,"Propreté , situation , explication de l'établissement","4,0",Appart'hôtel,Nantes," 7,0 "
Alonzo,France,0,2018-10-01 00:00:00,Mediocre,None,"Personnels très incompétent qui ne maitrisent pas l'art de l'hôtellerie. 
Mal éduquer et impoli.","4,6",Appart'hôtel,Nantes," 7,0 "
Delphine,France,0,2018-09-28 00:00:00,Décevant,None,Hyper cheap ! Un matelas sur sommier à pied et rien de plus...,"4,6",Appart'hôtel,Nantes," 7,0 "
Sandranana43,France,0,2018-09-23 00:00:00,Honteux que la responsable ne donne pas de suite à ces mails,L’espace des chambres,Je déconseille cet établissement j’ai eu quelques soucis lors de mes 3 séjours. Don un séjour où il a fallut que n’attendent plus de 1h dehors car la carte ne fonctionner plus le service d’urgence se trouve à Strasbourg je vous laisse imaginer... pour avoir le petit déjeuner il nous a fallut attendre 45 minutes pour 2 personnes... j’ai demander à écrire à la responsable même la responsable ne tiens pas ces actes elle m’avais dis me contactez il y a maintenant 18 jours je ne cesse de lui écrire sans réponse de sa part c’est honteux je ne fais vraiment pas de la publicité à cette établissement surtout que tous ce que j’ai dis peut être vérifier à la caméra donc en aucun cas ceci sont ces propos mensongères,"3,8",Appart'hôtel,Nantes," 7,0 "
Sabrina,France,0,2018-09-14 00:00:00,Passable,L'emplacement proche des grands axes et 15 minutes en voiture du centre ville.,"Propreté négligé, lit inconfortable, pas d'armoire et cintres pour les vêtements, pas de sèche cheveux dans la salle de bain.","5,0",Appart'hôtel,Nantes," 7,0 "
Francoise,France,0,2018-09-13 00:00:00,Très mécontente,"La surface de l’appartement mais c’est 
Normal nous avions un appartement pour 4 avec le tarif en rapport","Réceptionniste peu aimable
Ménage insuffisant , grosses boules de 
Poussière dans placard 
Réservation pour 2 nuits mais 1 seule nuit à été programmée sur la carte , le deuxième soir , à notre retour à 22 h impossible de rentrer dans l’immeuble et encore moins dans la chambre , après plusieurs appels tél , un personnel est enfin arrivée après plus d’une heure d’attente !! Désintéressement total de la part de la réceptionniste le lendemain matin quand nous avons évoqué notre problème. Je ne recommande surtout pas cette résidence","3,8",Appart'hôtel,Nantes," 7,0 "
Pauline,France,0,2018-09-06 00:00:00,Décevant,None,"L’emplacement, éloigné du centre de Nantes 
Mauvais accueil le soir de mon arrivée","4,6",Appart'hôtel,Nantes," 7,0 "
Gene29,France,0,2018-08-30 00:00:00,Appart Nantes,"L'espace de l'appartement, endroit calme.","La propreté, l'odeur nauséabonde de l'appartement, odeur de tabac froid, il faudrait laver les rideaux! Pour une chambre non fumeur😣 La salle de bain une odeur de ""rat crevé"" La douche très sale l'eau avait du mal à évacuer!!!! L'organisation de l'accueil laisse à désirer. Je comprends mieux pourquoi on ne peut pas les avoir au téléphone ils ne répondent pas😳","4,6",Appart'hôtel,Nantes," 7,0 "
Evelyne,France,0,2018-08-28 00:00:00,Bon séjour pour le mariage d une cousine,Appartement bien pour la famille,Pas eu de contact avec le personnel. Mettre plus de gel douches et shampoing en fonction du nombre de personne et de la durée de séjour,"4,5",Appart'hôtel,Nantes," 7,0 "
Anaïs,France,0,2018-08-27 00:00:00,Déçue,La taille des locaux.,"Absence total du personnel durant le séjour, je n'ai pas pu leur poser des questions ni payer directement à l'hôtel. Le coin cuisine et les serviettes étaient sales.","5,0",Appart'hôtel,Nantes," 7,0 "
Juliette,France,0,2018-08-26 00:00:00,Insatisfaite,Literie,"Chambre vétuste , pas du tout en accord avec les photos , poussière sur les étages ... très décevant","5,0",Appart'hôtel,Nantes," 7,0 "
Tyff78,France,0,2018-08-21 00:00:00,Décevant,None,"Un effort aurait pu être fait pour la propreté de l'appartement. 
Pas de papier toilette à notre arrivé et beaucoup de poussières sans oublier les tâches sur le plafond de la salle de bain. 
Mauvais ambiance dès l'entrée dans les lieux, très déçue par cet escale","4,2",Appart'hôtel,Nantes," 7,0 "
Frédéric,France,0,2018-08-17 00:00:00,Résidence defraichie aucun geste commercial du fait d'être resté dehors 1h30 (pb serrure électroniqu,L'espace du studio,Problème de serrure nous sommes restés 1h30 bloqué dans le couloir,"4,6",Appart'hôtel,Nantes," 7,0 "
France,France,0,2018-08-15 00:00:00,Décevant,"Propreté douteuse, manque d’équipements (tapis de bain absents, rangements quasi inexistants, vaisselle très limitée...)",None,"4,2",Appart'hôtel,Nantes," 7,0 "
Isabelle,France,0,2018-08-12 00:00:00,Décevant,Le prix,La propreté,"4,6",Appart'hôtel,Nantes," 7,0 "
Sandrine,France,0,2018-08-07 00:00:00,Assez médiocre ,None,Logement insalubre surtout la chambre,"3,3",Appart'hôtel,Nantes," 7,0 "
Isabelle,France,0,2018-08-01 00:00:00,Passable,None,La propreté.,"5,0",Appart'hôtel,Nantes," 7,0 "
Carole,France,0,2018-07-31 00:00:00,Passable,Bien situé pour accéder aux transports en commun. Espace adapté à une famille de 4 personnes.,Peu de vaisselle et très vétuste. Linge de lit juste propre. Murs sales. Petit déjeuner assez cher et pas de tarif enfant.,"5,0",Appart'hôtel,Nantes," 7,0 "
Johanne,Canada,0,2018-07-26 00:00:00,Décevant,Le personnel très dévoué chapeau!!!,"L'emplacement, chambre désuet, pas d'air climatisé ni ventilateur dommage très déçu😞","3,8",Appart'hôtel,Nantes," 7,0 "
Magalie,France,0,2018-07-25 00:00:00,Stressant,Le petit-déjeuner,"Problème de coffre pour avoir les clefs, le numéro d'urgence personne ne répond, nous avons attendu 2 heures avant de les avoir... La propreté laisse à désirer.","4,6",Appart'hôtel,Nantes," 7,0 "
Claire,France,0,2018-07-24 00:00:00,Passable,None,"Les photos sur le site ne correspondent pas aux chambres....
Toiles d’araignées, cheveux dans la douche, poussière....
Fin bref pour le prix je suis déçu.","5,0",Appart'hôtel,Nantes," 7,0 "
