nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Francçoise,France,0,2019-11-08 00:00:00,Bien ,L'appartement,"L'emplacement
Coté
rue
Problème
Poubelle
Verre
Bruit
La
Nuit
Sonore","7,5",Hôtel,Nantes," 8,6 "
Catherine,None,0,2019-09-12 00:00:00,Très bon rapport qualité prix,"Accueil chaleureux, chambre jolie et confortable, bien équipée. La vue sur la jardin, au calme était un plus.",None,"9,6",Hôtel,Nantes," 8,6 "
Anderson,France,0,2019-09-07 00:00:00,Très bien,Accueil super bien! Le personnel a été bien au-delà de mes attentes.,None,"8,3",Hôtel,Nantes," 8,6 "
Valbi,France,0,2019-09-04 00:00:00,ville de Nantes tres jolie et agreable avec toutes ses voies pietonnes.,Acceuil tres sympatique et nous avons meme eu la possibilite de choisir notre chambre et nous avons donc pris une chambre triple plus spacieuse qu une chambre double.Situee sous les toits nous n'avions pas de vue mais c'est oublié bien vite grace au confort de la chambre et la salle de bain spacieuse.Petit dejeuner tres bien et pas cher.Tres bien situé pour visiter le centre ville a pieds.,tout etait parfait,10,Hôtel,Nantes," 8,6 "
Agnes,France,0,2019-08-28 00:00:00,Superbe,"Cosy - belle décoration - personnel chaleureux - bien situé 
Joli jardin",Salle d’eau très petite,"8,8",Hôtel,Nantes," 8,6 "
Philippe,France,0,2019-08-13 00:00:00,Fabuleux ,None,les toilettes sont située dans un endroit trop exigu. Presque impossible de s'assoir,"9,2",Hôtel,Nantes," 8,6 "
Denise,France,0,2019-08-07 00:00:00,Très bon rapport qualité /prix,L’accueil est très chaleureux,None,"8,8",Hôtel,Nantes," 8,6 "
Jen,France,0,2019-08-03 00:00:00,Superbe,None,"😊
Très bon séjour. On se sent comme à la maison. Ambiance familiale et personnel très chaleureux.","8,8",Hôtel,Nantes," 8,6 "
Philippe,France,0,2019-08-01 00:00:00,Excellent accueil et hébergement pour visiter Nantes,Qualité de l'accueil et de l'hébergement,Rien à dire,10,Hôtel,Nantes," 8,6 "
Bénédicte,France,0,2019-07-22 00:00:00,Superbe,None,Chambre sous les toits et sans clim : avec la chaleur c’était un peu difficile.,"8,8",Hôtel,Nantes," 8,6 "
Nadine,France,0,2019-06-28 00:00:00,Super ! J'aurais aimé y séjourner plus longtemps...,"Petit hôtel absolument charmant, à la décoration soignée et à l'hôtesse également charmante.
Ma chambre, très cosy, donnait sur le petit jardin. Bonne literie. Je me suis sentie très bien dans cet hôtel.
Je suis allée à pied au centre ville qui se situe à environ 500 mètres, donc très proche.",None,10,Hôtel,Nantes," 8,6 "
Alain,France,0,2019-06-27 00:00:00,Superbe,Accueil prévenant. La chambre sur le jardin (très mignon) est très calme. La salle de bain est toute petite mais bien équipée et fonctionnelle.,Rien,"8,8",Hôtel,Nantes," 8,6 "
Jean,France,0,2019-04-22 00:00:00,Très bien,"L'accueil, le petit déjeuner, le confort du lit ,la décoration et le côté ""familial "".la chambre qui donne sur le jardin.",Le rideau entre la chambre et les toilettes,"8,3",Hôtel,Nantes," 8,6 "
Céline,France,0,2019-04-21 00:00:00,"Accueil chaleureux, hôtel cosy et confortable!","La décoration soignée, l emplacement (par rapport à nos objectifs du we dans le quartier st Donatien), la literie, le grand calme et la vue sur le jardin très sympathique. L’accueil est simple et très agréable.",L absence de porte entre la Sdb et la chambre;-)),10,Hôtel,Nantes," 8,6 "
